starting_times,source_nodes,target_nodes,ending_times,durations
140.0,98,115,160.0,20.0
140.0,98,103,160.0,20.0
140.0,102,235,160.0,20.0
140.0,105,111,160.0,20.0
140.0,109,111,160.0,20.0
140.0,79,84,160.0,20.0
140.0,108,103,160.0,20.0
140.0,108,113,160.0,20.0
140.0,78,91,160.0,20.0
140.0,18,10,160.0,20.0
140.0,12,9,160.0,20.0
140.0,116,113,160.0,20.0
140.0,170,180,160.0,20.0
140.0,103,113,160.0,20.0
140.0,179,166,160.0,20.0
140.0,89,93,160.0,20.0
160.0,208,226,180.0,20.0
160.0,210,224,180.0,20.0
160.0,149,160,180.0,20.0
160.0,143,159,180.0,20.0
160.0,143,153,180.0,20.0
160.0,143,155,180.0,20.0
160.0,150,154,180.0,20.0
160.0,159,153,180.0,20.0
160.0,159,155,180.0,20.0
160.0,126,131,180.0,20.0
160.0,52,68,180.0,20.0
160.0,54,48,180.0,20.0
160.0,184,173,180.0,20.0
160.0,241,79,180.0,20.0
160.0,241,95,180.0,20.0
160.0,241,84,180.0,20.0
160.0,232,155,180.0,20.0
160.0,43,33,180.0,20.0
160.0,23,32,180.0,20.0
160.0,25,31,180.0,20.0
160.0,25,35,180.0,20.0
160.0,25,236,180.0,20.0
160.0,31,35,180.0,20.0
160.0,31,236,180.0,20.0
160.0,37,45,180.0,20.0
160.0,39,47,180.0,20.0
160.0,88,77,180.0,20.0
160.0,88,92,180.0,20.0
160.0,96,74,180.0,20.0
160.0,96,75,180.0,20.0
160.0,86,74,180.0,20.0
160.0,81,91,180.0,20.0
160.0,98,115,180.0,20.0
160.0,80,77,180.0,20.0
160.0,80,92,180.0,20.0
160.0,79,84,180.0,20.0
160.0,77,92,180.0,20.0
160.0,18,10,180.0,20.0
160.0,12,9,180.0,20.0
160.0,111,103,180.0,20.0
160.0,116,113,180.0,20.0
160.0,174,180,180.0,20.0
160.0,93,82,180.0,20.0
180.0,219,220,200.0,20.0
180.0,211,226,200.0,20.0
180.0,149,160,200.0,20.0
180.0,144,232,200.0,20.0
180.0,143,155,200.0,20.0
180.0,150,148,200.0,20.0
180.0,159,155,200.0,20.0
180.0,161,152,200.0,20.0
180.0,126,131,200.0,20.0
180.0,140,122,200.0,20.0
180.0,133,129,200.0,20.0
180.0,52,68,200.0,20.0
180.0,69,58,200.0,20.0
180.0,241,96,200.0,20.0
180.0,43,33,200.0,20.0
180.0,25,35,200.0,20.0
180.0,25,36,200.0,20.0
180.0,25,236,200.0,20.0
180.0,26,37,200.0,20.0
180.0,42,46,200.0,20.0
180.0,34,36,200.0,20.0
180.0,34,45,200.0,20.0
180.0,35,36,200.0,20.0
180.0,35,45,200.0,20.0
180.0,36,236,200.0,20.0
180.0,39,47,200.0,20.0
180.0,88,92,200.0,20.0
180.0,96,95,200.0,20.0
180.0,96,75,200.0,20.0
180.0,98,99,200.0,20.0
180.0,98,117,200.0,20.0
180.0,80,71,200.0,20.0
180.0,0,18,200.0,20.0
180.0,0,10,200.0,20.0
180.0,18,10,200.0,20.0
180.0,12,9,200.0,20.0
180.0,116,113,200.0,20.0
180.0,179,180,200.0,20.0
180.0,89,93,200.0,20.0
180.0,49,60,200.0,20.0
200.0,208,225,220.0,20.0
200.0,216,223,220.0,20.0
200.0,211,226,220.0,20.0
200.0,230,223,220.0,20.0
200.0,144,232,220.0,20.0
200.0,143,159,220.0,20.0
200.0,233,170,220.0,20.0
200.0,151,152,220.0,20.0
200.0,150,148,220.0,20.0
200.0,150,161,220.0,20.0
200.0,159,155,220.0,20.0
200.0,126,131,220.0,20.0
200.0,51,238,220.0,20.0
200.0,69,57,220.0,20.0
200.0,43,33,220.0,20.0
200.0,26,37,220.0,20.0
200.0,28,37,220.0,20.0
200.0,42,46,220.0,20.0
200.0,34,36,220.0,20.0
200.0,35,36,220.0,20.0
200.0,35,45,220.0,20.0
200.0,36,45,220.0,20.0
200.0,39,47,220.0,20.0
200.0,87,89,220.0,20.0
200.0,86,74,220.0,20.0
200.0,83,75,220.0,20.0
200.0,99,119,220.0,20.0
200.0,122,120,220.0,20.0
200.0,108,103,220.0,20.0
200.0,236,46,220.0,20.0
200.0,0,18,220.0,20.0
200.0,18,10,220.0,20.0
200.0,13,10,220.0,20.0
200.0,13,8,220.0,20.0
200.0,12,9,220.0,20.0
200.0,116,113,220.0,20.0
200.0,103,113,220.0,20.0
200.0,168,180,220.0,20.0
220.0,208,225,240.0,20.0
220.0,144,232,240.0,20.0
220.0,144,146,240.0,20.0
220.0,151,152,240.0,20.0
220.0,127,130,240.0,20.0
220.0,126,131,240.0,20.0
220.0,140,122,240.0,20.0
220.0,140,120,240.0,20.0
220.0,133,129,240.0,20.0
220.0,133,131,240.0,20.0
220.0,129,131,240.0,20.0
220.0,51,238,240.0,20.0
220.0,52,68,240.0,20.0
220.0,54,48,240.0,20.0
220.0,54,70,240.0,20.0
220.0,183,178,240.0,20.0
220.0,232,146,240.0,20.0
220.0,232,155,240.0,20.0
220.0,43,33,240.0,20.0
220.0,25,45,240.0,20.0
220.0,28,37,240.0,20.0
220.0,42,47,240.0,20.0
220.0,41,47,240.0,20.0
220.0,34,236,240.0,20.0
220.0,34,45,240.0,20.0
220.0,131,139,240.0,20.0
220.0,39,236,240.0,20.0
220.0,88,92,240.0,20.0
220.0,96,75,240.0,20.0
220.0,22,3,240.0,20.0
220.0,98,103,240.0,20.0
220.0,108,113,240.0,20.0
220.0,236,47,240.0,20.0
220.0,235,107,240.0,20.0
220.0,19,0,240.0,20.0
220.0,114,104,240.0,20.0
220.0,165,167,240.0,20.0
220.0,175,170,240.0,20.0
220.0,170,182,240.0,20.0
220.0,173,166,240.0,20.0
220.0,89,93,240.0,20.0
220.0,48,59,240.0,20.0
220.0,59,70,240.0,20.0
240.0,214,215,260.0,20.0
240.0,210,224,260.0,20.0
240.0,143,155,260.0,20.0
240.0,152,157,260.0,20.0
240.0,124,140,260.0,20.0
240.0,124,133,260.0,20.0
240.0,127,130,260.0,20.0
240.0,127,129,260.0,20.0
240.0,140,130,260.0,20.0
240.0,133,129,260.0,20.0
240.0,130,139,260.0,20.0
240.0,129,131,260.0,20.0
240.0,129,139,260.0,20.0
240.0,52,68,260.0,20.0
240.0,56,62,260.0,20.0
240.0,56,60,260.0,20.0
240.0,23,25,260.0,20.0
240.0,24,31,260.0,20.0
240.0,24,36,260.0,20.0
240.0,25,35,260.0,20.0
240.0,25,236,260.0,20.0
240.0,25,45,260.0,20.0
240.0,26,38,260.0,20.0
240.0,28,35,260.0,20.0
240.0,28,37,260.0,20.0
240.0,31,33,260.0,20.0
240.0,41,47,260.0,20.0
240.0,131,139,260.0,20.0
240.0,32,236,260.0,20.0
240.0,88,92,260.0,20.0
240.0,88,71,260.0,20.0
240.0,96,86,260.0,20.0
240.0,96,75,260.0,20.0
240.0,94,89,260.0,20.0
240.0,81,73,260.0,20.0
240.0,98,105,260.0,20.0
240.0,98,110,260.0,20.0
240.0,98,113,260.0,20.0
240.0,80,92,260.0,20.0
240.0,20,9,260.0,20.0
240.0,0,18,260.0,20.0
240.0,14,8,260.0,20.0
240.0,13,8,260.0,20.0
240.0,170,182,260.0,20.0
240.0,163,164,260.0,20.0
240.0,89,93,260.0,20.0
240.0,93,82,260.0,20.0
260.0,215,221,280.0,20.0
260.0,210,229,280.0,20.0
260.0,217,229,280.0,20.0
260.0,217,222,280.0,20.0
260.0,229,222,280.0,20.0
260.0,227,222,280.0,20.0
260.0,143,145,280.0,20.0
260.0,233,165,280.0,20.0
260.0,233,182,280.0,20.0
260.0,148,154,280.0,20.0
260.0,124,133,280.0,20.0
260.0,140,133,280.0,20.0
260.0,140,129,280.0,20.0
260.0,138,139,280.0,20.0
260.0,135,139,280.0,20.0
260.0,132,139,280.0,20.0
260.0,52,68,280.0,20.0
260.0,69,57,280.0,20.0
260.0,241,96,280.0,20.0
260.0,43,33,280.0,20.0
260.0,23,236,280.0,20.0
260.0,25,236,280.0,20.0
260.0,25,44,280.0,20.0
260.0,26,38,280.0,20.0
260.0,28,37,280.0,20.0
260.0,88,92,280.0,20.0
260.0,88,71,280.0,20.0
260.0,86,78,280.0,20.0
260.0,86,74,280.0,20.0
260.0,86,82,280.0,20.0
260.0,81,71,280.0,20.0
260.0,123,122,280.0,20.0
260.0,105,119,280.0,20.0
260.0,105,103,280.0,20.0
260.0,79,78,280.0,20.0
260.0,77,92,280.0,20.0
260.0,77,71,280.0,20.0
260.0,0,18,280.0,20.0
260.0,3,14,280.0,20.0
260.0,14,13,280.0,20.0
260.0,14,12,280.0,20.0
260.0,13,8,280.0,20.0
260.0,165,170,280.0,20.0
260.0,167,178,280.0,20.0
260.0,176,166,280.0,20.0
260.0,170,182,280.0,20.0
280.0,210,220,300.0,20.0
280.0,230,231,300.0,20.0
280.0,227,222,300.0,20.0
280.0,143,152,300.0,20.0
280.0,143,153,300.0,20.0
280.0,150,154,300.0,20.0
280.0,140,133,300.0,20.0
280.0,135,123,300.0,20.0
280.0,133,129,300.0,20.0
280.0,133,131,300.0,20.0
280.0,52,66,300.0,20.0
280.0,52,68,300.0,20.0
280.0,54,48,300.0,20.0
280.0,56,62,300.0,20.0
280.0,56,67,300.0,20.0
280.0,162,146,300.0,20.0
280.0,69,57,300.0,20.0
280.0,58,48,300.0,20.0
280.0,43,24,300.0,20.0
280.0,43,33,300.0,20.0
280.0,23,25,300.0,20.0
280.0,23,28,300.0,20.0
280.0,25,236,300.0,20.0
280.0,26,37,300.0,20.0
280.0,28,35,300.0,20.0
280.0,31,36,300.0,20.0
280.0,39,236,300.0,20.0
280.0,39,47,300.0,20.0
280.0,88,76,300.0,20.0
280.0,88,92,300.0,20.0
280.0,22,0,300.0,20.0
280.0,81,91,300.0,20.0
280.0,98,110,300.0,20.0
280.0,101,104,300.0,20.0
280.0,123,120,300.0,20.0
280.0,78,92,300.0,20.0
280.0,0,18,300.0,20.0
280.0,29,46,300.0,20.0
280.0,17,7,300.0,20.0
280.0,15,14,300.0,20.0
280.0,14,13,300.0,20.0
280.0,44,45,300.0,20.0
280.0,7,4,300.0,20.0
280.0,116,113,300.0,20.0
280.0,167,179,300.0,20.0
280.0,175,182,300.0,20.0
280.0,173,179,300.0,20.0
280.0,84,89,300.0,20.0
280.0,59,67,300.0,20.0
300.0,211,226,320.0,20.0
300.0,227,222,320.0,20.0
300.0,149,148,320.0,20.0
300.0,144,147,320.0,20.0
300.0,143,159,320.0,20.0
300.0,143,152,320.0,20.0
300.0,143,153,320.0,20.0
300.0,150,148,320.0,20.0
300.0,152,153,320.0,20.0
300.0,124,129,320.0,20.0
300.0,126,130,320.0,20.0
300.0,135,123,320.0,20.0
300.0,135,120,320.0,20.0
300.0,133,131,320.0,20.0
300.0,132,139,320.0,20.0
300.0,130,139,320.0,20.0
300.0,129,131,320.0,20.0
300.0,52,68,320.0,20.0
300.0,54,48,320.0,20.0
300.0,56,62,320.0,20.0
300.0,62,67,320.0,20.0
300.0,241,83,320.0,20.0
300.0,23,25,320.0,20.0
300.0,26,37,320.0,20.0
300.0,26,38,320.0,20.0
300.0,26,236,320.0,20.0
300.0,26,45,320.0,20.0
300.0,38,236,320.0,20.0
300.0,39,236,320.0,20.0
300.0,96,79,320.0,20.0
300.0,96,95,320.0,20.0
300.0,22,3,320.0,20.0
300.0,22,17,320.0,20.0
300.0,83,95,320.0,20.0
300.0,81,91,320.0,20.0
300.0,98,115,320.0,20.0
300.0,105,235,320.0,20.0
300.0,79,95,320.0,20.0
300.0,235,110,320.0,20.0
300.0,0,18,320.0,20.0
300.0,1,7,320.0,20.0
300.0,3,17,320.0,20.0
300.0,29,46,320.0,20.0
300.0,29,47,320.0,20.0
300.0,21,14,320.0,20.0
300.0,9,7,320.0,20.0
300.0,116,113,320.0,20.0
300.0,167,170,320.0,20.0
300.0,167,179,320.0,20.0
300.0,84,93,320.0,20.0
300.0,168,180,320.0,20.0
300.0,93,82,320.0,20.0
320.0,219,209,340.0,20.0
320.0,212,220,340.0,20.0
320.0,211,226,340.0,20.0
320.0,209,230,340.0,20.0
320.0,189,204,340.0,20.0
320.0,227,222,340.0,20.0
320.0,143,153,340.0,20.0
320.0,150,232,340.0,20.0
320.0,124,133,340.0,20.0
320.0,127,126,340.0,20.0
320.0,126,130,340.0,20.0
320.0,140,120,340.0,20.0
320.0,51,70,340.0,20.0
320.0,52,66,340.0,20.0
320.0,69,58,340.0,20.0
320.0,63,65,340.0,20.0
320.0,241,83,340.0,20.0
320.0,23,25,340.0,20.0
320.0,23,32,340.0,20.0
320.0,23,236,340.0,20.0
320.0,26,37,340.0,20.0
320.0,26,38,340.0,20.0
320.0,39,46,340.0,20.0
320.0,32,236,340.0,20.0
320.0,32,47,340.0,20.0
320.0,153,157,340.0,20.0
320.0,96,95,340.0,20.0
320.0,22,0,340.0,20.0
320.0,98,115,340.0,20.0
320.0,98,113,340.0,20.0
320.0,79,95,340.0,20.0
320.0,0,13,340.0,20.0
320.0,29,46,340.0,20.0
320.0,29,47,340.0,20.0
320.0,21,17,340.0,20.0
320.0,15,14,340.0,20.0
320.0,13,10,340.0,20.0
320.0,176,164,340.0,20.0
320.0,84,82,340.0,20.0
320.0,59,67,340.0,20.0
320.0,60,67,340.0,20.0
340.0,219,212,360.0,20.0
340.0,216,210,360.0,20.0
340.0,210,231,360.0,20.0
340.0,210,240,360.0,20.0
340.0,211,226,360.0,20.0
340.0,209,230,360.0,20.0
340.0,196,189,360.0,20.0
340.0,142,148,360.0,20.0
340.0,126,132,360.0,20.0
340.0,51,57,360.0,20.0
340.0,52,68,360.0,20.0
340.0,53,61,360.0,20.0
340.0,69,57,360.0,20.0
340.0,58,48,360.0,20.0
340.0,23,25,360.0,20.0
340.0,23,32,360.0,20.0
340.0,23,236,360.0,20.0
340.0,24,28,360.0,20.0
340.0,26,37,360.0,20.0
340.0,28,37,360.0,20.0
340.0,39,47,360.0,20.0
340.0,32,236,360.0,20.0
340.0,153,157,360.0,20.0
340.0,96,83,360.0,20.0
340.0,96,95,360.0,20.0
340.0,81,91,360.0,20.0
340.0,81,92,360.0,20.0
340.0,98,115,360.0,20.0
340.0,80,71,360.0,20.0
340.0,105,108,360.0,20.0
340.0,77,76,360.0,20.0
340.0,20,7,360.0,20.0
340.0,0,4,360.0,20.0
340.0,1,17,360.0,20.0
340.0,1,16,360.0,20.0
340.0,3,8,360.0,20.0
340.0,29,46,360.0,20.0
340.0,117,116,360.0,20.0
340.0,103,113,360.0,20.0
360.0,216,230,380.0,20.0
360.0,211,226,380.0,20.0
360.0,209,229,380.0,20.0
360.0,193,188,380.0,20.0
360.0,193,197,380.0,20.0
360.0,188,200,380.0,20.0
360.0,188,197,380.0,20.0
360.0,200,206,380.0,20.0
360.0,200,203,380.0,20.0
360.0,187,195,380.0,20.0
360.0,189,191,380.0,20.0
360.0,197,206,380.0,20.0
360.0,204,203,380.0,20.0
360.0,142,162,380.0,20.0
360.0,140,128,380.0,20.0
360.0,135,123,380.0,20.0
360.0,50,70,380.0,20.0
360.0,51,69,380.0,20.0
360.0,52,66,380.0,20.0
360.0,52,68,380.0,20.0
360.0,53,61,380.0,20.0
360.0,24,34,380.0,20.0
360.0,24,38,380.0,20.0
360.0,26,37,380.0,20.0
360.0,28,37,380.0,20.0
360.0,39,32,380.0,20.0
360.0,32,236,380.0,20.0
360.0,88,78,380.0,20.0
360.0,96,78,380.0,20.0
360.0,22,0,380.0,20.0
360.0,81,73,380.0,20.0
360.0,98,115,380.0,20.0
360.0,105,108,380.0,20.0
360.0,108,111,380.0,20.0
360.0,77,90,380.0,20.0
360.0,20,7,380.0,20.0
360.0,0,18,380.0,20.0
360.0,29,46,380.0,20.0
360.0,14,13,380.0,20.0
360.0,175,163,380.0,20.0
360.0,170,168,380.0,20.0
360.0,93,82,380.0,20.0
380.0,219,225,400.0,20.0
380.0,216,210,400.0,20.0
380.0,211,226,400.0,20.0
380.0,198,199,400.0,20.0
380.0,198,197,400.0,20.0
380.0,196,201,400.0,20.0
380.0,193,190,400.0,20.0
380.0,188,197,400.0,20.0
380.0,188,239,400.0,20.0
380.0,197,239,400.0,20.0
380.0,206,203,400.0,20.0
380.0,151,159,400.0,20.0
380.0,138,132,400.0,20.0
380.0,135,123,400.0,20.0
380.0,50,70,400.0,20.0
380.0,51,52,400.0,20.0
380.0,52,66,400.0,20.0
380.0,54,68,400.0,20.0
380.0,55,238,400.0,20.0
380.0,241,72,400.0,20.0
380.0,232,155,400.0,20.0
380.0,43,33,400.0,20.0
380.0,23,32,400.0,20.0
380.0,23,236,400.0,20.0
380.0,26,28,400.0,20.0
380.0,31,36,400.0,20.0
380.0,31,37,400.0,20.0
380.0,31,44,400.0,20.0
380.0,33,37,400.0,20.0
380.0,36,44,400.0,20.0
380.0,37,32,400.0,20.0
380.0,39,236,400.0,20.0
380.0,137,139,400.0,20.0
380.0,237,235,400.0,20.0
380.0,22,0,400.0,20.0
380.0,81,71,400.0,20.0
380.0,98,115,400.0,20.0
380.0,98,103,400.0,20.0
380.0,99,105,400.0,20.0
380.0,80,71,400.0,20.0
380.0,115,103,400.0,20.0
380.0,77,76,400.0,20.0
380.0,15,8,400.0,20.0
380.0,15,7,400.0,20.0
380.0,15,4,400.0,20.0
380.0,44,45,400.0,20.0
380.0,179,166,400.0,20.0
400.0,208,225,420.0,20.0
400.0,208,224,420.0,20.0
400.0,212,225,420.0,20.0
400.0,216,223,420.0,20.0
400.0,210,240,420.0,20.0
400.0,196,201,420.0,20.0
400.0,200,203,420.0,20.0
400.0,187,206,420.0,20.0
400.0,187,195,420.0,20.0
400.0,201,206,420.0,20.0
400.0,149,148,420.0,20.0
400.0,150,156,420.0,20.0
400.0,127,132,420.0,20.0
400.0,138,135,420.0,20.0
400.0,138,139,420.0,20.0
400.0,135,139,420.0,20.0
400.0,132,137,420.0,20.0
400.0,132,139,420.0,20.0
400.0,52,55,420.0,20.0
400.0,56,62,420.0,20.0
400.0,56,238,420.0,20.0
400.0,56,49,420.0,20.0
400.0,62,60,420.0,20.0
400.0,43,33,420.0,20.0
400.0,23,25,420.0,20.0
400.0,23,32,420.0,20.0
400.0,23,45,420.0,20.0
400.0,26,37,420.0,20.0
400.0,26,236,420.0,20.0
400.0,28,37,420.0,20.0
400.0,33,236,420.0,20.0
400.0,39,47,420.0,20.0
400.0,137,139,420.0,20.0
400.0,237,235,420.0,20.0
400.0,81,91,420.0,20.0
400.0,98,115,420.0,20.0
400.0,123,122,420.0,20.0
400.0,80,71,420.0,20.0
400.0,78,75,420.0,20.0
400.0,29,46,420.0,20.0
400.0,16,14,420.0,20.0
400.0,44,45,420.0,20.0
400.0,116,113,420.0,20.0
400.0,175,180,420.0,20.0
400.0,89,93,420.0,20.0
420.0,208,224,440.0,20.0
420.0,210,224,440.0,20.0
420.0,209,230,440.0,20.0
420.0,198,196,440.0,20.0
420.0,190,189,440.0,20.0
420.0,188,199,440.0,20.0
420.0,188,239,440.0,20.0
420.0,227,222,440.0,20.0
420.0,199,202,440.0,20.0
420.0,199,239,440.0,20.0
420.0,201,197,440.0,20.0
420.0,202,239,440.0,20.0
420.0,150,154,440.0,20.0
420.0,150,156,440.0,20.0
420.0,154,156,440.0,20.0
420.0,154,146,440.0,20.0
420.0,161,153,440.0,20.0
420.0,127,137,440.0,20.0
420.0,126,135,440.0,20.0
420.0,126,131,440.0,20.0
420.0,132,137,440.0,20.0
420.0,132,139,440.0,20.0
420.0,129,131,440.0,20.0
420.0,54,58,440.0,20.0
420.0,54,68,440.0,20.0
420.0,56,62,440.0,20.0
420.0,56,49,440.0,20.0
420.0,69,57,440.0,20.0
420.0,40,29,440.0,20.0
420.0,23,25,440.0,20.0
420.0,23,45,440.0,20.0
420.0,24,45,440.0,20.0
420.0,26,37,440.0,20.0
420.0,28,37,440.0,20.0
420.0,33,236,440.0,20.0
420.0,137,139,440.0,20.0
420.0,98,113,440.0,20.0
420.0,79,78,440.0,20.0
420.0,29,46,440.0,20.0
420.0,118,104,440.0,20.0
420.0,97,113,440.0,20.0
420.0,95,75,440.0,20.0
440.0,208,225,460.0,20.0
440.0,217,222,460.0,20.0
440.0,196,189,460.0,20.0
440.0,188,195,460.0,20.0
440.0,227,222,460.0,20.0
440.0,199,204,460.0,20.0
440.0,150,156,460.0,20.0
440.0,156,158,460.0,20.0
440.0,126,135,460.0,20.0
440.0,126,131,460.0,20.0
440.0,135,132,460.0,20.0
440.0,50,70,460.0,20.0
440.0,53,61,460.0,20.0
440.0,241,95,460.0,20.0
440.0,40,29,460.0,20.0
440.0,23,25,460.0,20.0
440.0,23,45,460.0,20.0
440.0,25,45,460.0,20.0
440.0,26,37,460.0,20.0
440.0,86,73,460.0,20.0
440.0,81,91,460.0,20.0
440.0,98,114,460.0,20.0
440.0,79,78,460.0,20.0
440.0,79,95,460.0,20.0
440.0,79,73,460.0,20.0
440.0,78,95,460.0,20.0
440.0,14,13,460.0,20.0
440.0,167,180,460.0,20.0
440.0,110,97,460.0,20.0
440.0,73,75,460.0,20.0
440.0,93,82,460.0,20.0
440.0,48,49,460.0,20.0
460.0,189,191,480.0,20.0
460.0,199,186,480.0,20.0
460.0,201,239,480.0,20.0
460.0,150,154,480.0,20.0
460.0,150,156,480.0,20.0
460.0,148,162,480.0,20.0
460.0,154,162,480.0,20.0
460.0,127,130,480.0,20.0
460.0,126,135,480.0,20.0
460.0,126,131,480.0,20.0
460.0,126,123,480.0,20.0
460.0,140,128,480.0,20.0
460.0,135,139,480.0,20.0
460.0,133,129,480.0,20.0
460.0,132,137,480.0,20.0
460.0,129,123,480.0,20.0
460.0,50,70,480.0,20.0
460.0,52,238,480.0,20.0
460.0,53,61,480.0,20.0
460.0,55,238,480.0,20.0
460.0,162,232,480.0,20.0
460.0,241,95,480.0,20.0
460.0,23,25,480.0,20.0
460.0,24,36,480.0,20.0
460.0,25,45,480.0,20.0
460.0,26,37,480.0,20.0
460.0,28,236,480.0,20.0
460.0,42,36,480.0,20.0
460.0,39,47,480.0,20.0
460.0,22,19,480.0,20.0
460.0,98,114,480.0,20.0
460.0,80,71,480.0,20.0
460.0,79,78,480.0,20.0
460.0,73,93,480.0,20.0
460.0,93,82,480.0,20.0
480.0,219,220,500.0,20.0
480.0,205,195,500.0,20.0
480.0,150,146,500.0,20.0
480.0,161,153,500.0,20.0
